STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU727,Caenorhabditis sp. 5,wild isolate,"Male / female. Sampled by MAF on 6 May 2005 in Chengyang, 20 km North of Sanjiang, Guangxi, China under a wild tree along a path between two villages. Does not cross (embryonic lethality) with C. remanei PB4641 and JU724, nor C. sp. 4 PB2801.",MAF,15A1
JU724,Caenorhabditis latens,wild isolate,"Sampled by MAF on 13 May 2005 in Zhouzhuang, Jiangsu, China from soil in cultivated fields (beans, cereal) at the SW entrance of the village.",MAF,23C1
JU725,Caenorhabditis briggsae,wild isolate,"Sampled by MAF on 4 May 2005 from mushroom compost in a farmyard 1 km South of Yangshuo, Guangxi, China.",MAF,5A2
JU726,Caenorhabditis briggsae,wild isolate,"Sampled by MAF on 6 May 2005 from soil + freshly added compost in a cabbage field in Chengyang village, 20 km North of Sanjiang, Guangxi, China.",MAF,14D4
JU723,Pristionchus pacificus,wild isolate,"Hermaphroditic. Sample by MAF in soil from a vegetable and fruit garden, on 7 May 2005 in PingÕan village, approx. 20 km E of Longsheng, Guangxi, China.",MAF,17C2
JU722,Caenorhabditis elegans,let-23(sy1)II in PB306 background,let-23(sy1) from PS79 introgressed 11x into PB306. dpy-10(e128) from PS79 removed.  X from PB306. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU728,Oscheius tipulae,wild isolate,"Sampled by MAF next to a cultivated field at the edge of the village next to the temple Shuanglin si, Shanxi, China on 1 May 2005.",MAF,2A2
JU729,Oscheius tipulae,wild isolate,"Sampled by MAF on 4 May 2005 from mushroom compost in a farmyard 1 km South of Yangshuo, Guangxi, China.",MAF,5D1
JU730,Oscheius tipulae,wild isolate,"Sampled by MAF on 4 May 2005 from a compost heap (oranges, grass, snails) a few km S of Yangshuo, Guangxi, China.",MAF,8C1
JU731,Oscheius tipulae,wild isolate,"Sampled by MAF in leaf litter in a wood (bamboos) below Moon Hill, S of Yangshuo, Guangxi, China on 4 May 2005. ",MAF,9A2
JU732,Oscheius tipulae,wild isolate,"Sampled by MAF on 6 May 2005 at the edge of a rice paddy next to the bridge in Chengyang (ca. 20 km N of Sanjiang), Guangxi, China.",MAF,11C1
JU733,Oscheius tipulae,wild isolate,"Sampled by MAF on 6 May 2005 in Chengyang, 20 km North of Sanjiang, Guangxi, China under a wild tree along a path between two villages. ",MAF,15A2
JU734,Oscheius tipulae,wild isolate,"Sampled by MAF on 7 May 2005 in leaf litter in a small wood above PingÕan, 20 km E of Longshen, Guangxi, China.",MAF,16D1
JU735,Oscheius tipulae,wild isolate,"Sampled by MAF in soil from a vegetable and fruit garden, on 7 May 2005 in PingÕan village, approx. 20 km E of Longsheng, Guangxi, China.",MAF,17B2
JU736,Oscheius tipulae,wild isolate,"Sampled by MAF on 12 May 2005 within the rock garden of the Embroidery Institute (ÒJardin de la Montagne Etreinte de Beaut_Ó) in Suzhou, Jiangsu, China.",MAF,21D1
JU737,Oscheius tipulae,wild isolate,"Sampled by MAF on 13 May 2005 in Zhouzhuang, Jiangsu, China from soil in cultivated fields (beans, cereal) at the SW entrance of the village.",MAF,23A1
JU738,Oscheius tipulae,wild isolate,"Sampled by MAF on 13 May 2005 in Zhouzhuang, Jiangsu, China from leaf litter at the N entrance of the village.",MAF,26C1
JU739,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV1
JU740,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV2
JU741,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV3
JU742,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV4
JU743,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV5
JU744,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV6
JU745,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV7
JU746,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. Picked as dauer 20 May.",MAF,CPV8
JU747,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. ",MAF,CPV9
JU478,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. ",MAF,CPV10
JU749,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. ",MAF,CPV11
JU750,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 20 May 05. ",MAF,CPV12
JU751,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 08 June 05. Picked as dauer.",MAF,JA VI 2.1
JU752,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 08 June 05. Picked as dauer.",MAF,JA VI 2.2
JU753,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 08 June 05. Picked as dauer.",MAF,JA VI 2.3
JU754,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 08 June 05. Picked as dauer.",MAF,JA VI 2.4
JU755,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 08 June 05. Picked as dauer.",MAF,JA VI 2.5
JU756,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 08 June 05. Picked as dauer.",MAF,JA VI 2.6
JU758,Pelodera strongyloides,wild isolate,"Sampled by MAF from a compost/manure heap in the village next to the temple Shuanglin si, Shanxi, China on 1 May 2005. Male-female. ",MAF,1B1
JU759,Pelodera teres,wild isolate,"Sampled by MAF next to a cultivated field at the edge of the village next to the temple Shuanglin si, Shanxi, China on 1 May 2005. Male-female. Tentatively identified by K. Kiontke.",MAF,"2C3, 2D3"
JU760,Pelodera teres,wild isolate,"Sampled by MAF in a small garden at the SW corner of the Suzhou river and Yunnan street, Shanghai, China on 14 May 2005. Male-female. Tentatively identified by K. Kiontke.",MAF,27D1
JU761,Oscheius sp. (Insectivora group),wild isolate,"Sampled by MAF in leaf litter in a wood (bamboos) below Moon Hill, S of Yangshuo, Guangxi, China on 4 May 2005. Male-female.",,9B1
JU762,Oscheius sp. (Insectivora group),wild isolate,"Sampled by MAF in leaf litter in a wood (bamboos) below Moon Hill, S of Yangshuo, Guangxi, China on 4 May 2005. Hermaphroditic.",MAF,9C2
JU763,Poikilolaimus oxycercus,wild isolate,"Sampled by MAF next to a pork stable in a house of the Chengyang village, ca. 20 km N of Sanjiang, Guangxi, China on 6 May 2005. Identification by K. Kiontke.",MAF,13C1
JU764,Mesorhabditis spiculigera,wild isolate,"Male-female with approx 1:1 ratio. Sampled by MAF on 6 May 2005 from soil + freshly added compost in a cabbage field in Chengyang village, 20 km North of Sanjiang, Guangxi, China. Male-female. Identification by ",MAF,14D1
JU765,Panagrolaimus sp.,wild isolate,"Sampled by MAF at the edge of a rice paddy, ca. 1 km S of Yangshuo, Guangxi, China on 4 May 2005. Hermaphroditic. Can grow at 30¡C.",MAF,6D6
PS4562,Oscheius tipulae,wild isolate,Sampled by J. Demodena in Laos.,"J. Demodena, Caltech",Laos 2
JU757,Caenorhabditis briggsae,wild isolate ,"Sampled by MAF in Le Blanc (12 June 2005), compost heap.",MAF,B2A1
JU773,Pristionchus sp.,wild isolate,Sampled by MAF in the botanical garden of Lisbon on 10 july 05. White mushroom on a tree trunk. Male-Female.,MAF,P9B1
JU774,Caenorhabditis elegans,wild isolate,"Isolated in Carcavelos, Portugal from garden garbage left on pavement, 10 July 05. ",MAF,P6P2
JU775,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a tree with red fruits rottening on the ground. END OF THE -80 TUBE, JULY 2009.",MAF,P8D1
JU776,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a tree with red fruits rottening on the ground. ",MAF,P8F1
JU777,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a tree with red fruits rottening on the ground. ",MAF,P8M3
JU778,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a Ficus isophlebia tree with fruits rottening on the ground. ",MAF,P12B4
JU779,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a Ficus isophlebia tree with fruits rottening on the ground. ",MAF,P12B7
JU780,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a Ficus isophlebia tree with fruits rottening on the ground. ",MAF,P12B30
JU781,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a Ficus isophlebia tree with fruits rottening on the ground. ",MAF,P12D4
JU782,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 in compost heap at the top of the garden.",MAF,P14D1
JU783,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 in a compost heap at the top of the garden.",MAF,P14F1
JU784,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 in a compost heap at the top of the garden.",MAF,P14H1
JU785,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 in a compost heap at the top of the garden.",MAF,P14H2
JU786,Caenorhabditis briggsae,mfEx18[pJL44.2; Ce-myo-2::GFP],pJL44.2 = hsp16.48::Mos1transposase. Injection into AF16.,MAF,23.5
JU787,Caenorhabditis briggsae,mfEx19[pPD9; Ce-sur-5::GFP],pPD9 = Mos1 transposon. Injection with pTG96 into AF16.,MAF,1.2
JU788,Caenorhabditis briggsae,mfEx20[pPD9; Ce-sur-5::GFP],pPD9 = Mos1 transposon. Injection with pTG96 into AF16.,MAF,3.2
JU789,Caenorhabditis briggsae,mfEx21[pPD9; Ce-sur-5::GFP],pPD9 = Mos1 transposon. Injection with pTG96 into AF16.,MAF,13.1
JU790,Caenorhabditis briggsae,mfEx22[pPD9; Ce-sur-5::GFP],pPD9 = Mos1 transposon. Injection with pTG96 into AF16.,MAF,14.4
JU791,Caenorhabditis briggsae,mfEx23[pPD9; Ce-sur-5::GFP],pPD9 = Mos1 transposon. Injection with pTG96 into AF16.,MAF,17.1
SB378,Caenorhabditis sp. 5,wild isolate,Isolated from soil in a park in Guangzhou (China) about middle of July 2005.,W. Sudhaus,
JU792,Caenorhabditis elegans,wild isolate,"From the compost heap at the bottom of the garden in Frechendets (Hautes Pyr_n_es), 31 August 05",MAF,F2A1
JU793,Caenorhabditis briggsae,wild isolate,"From the compost heap at the top of the garden in Frechendets (Hautes Pyr_n_es), 31 August 05",MAF,F1A1
JU794,Caenorhabditis briggsae,wild isolate,"From the compost heap at the top of the garden in Frechendets (Hautes Pyr_n_es), 31 August 05",MAF,F1B1
JU795,Caenorhabditis briggsae,wild isolate,"From the compost heap at the top of the garden in Frechendets (Hautes Pyr_n_es), 31 August 05",MAF,F1D1
JU796,Caenorhabditis briggsae,wild isolate,"From the compost heap at the top of the garden in Frechendets (Hautes Pyr_n_es), 31 August 05",MAF,F1E1
JU797,Caenorhabditis briggsae,wild isolate,"From the compost heap at the bottom of the garden in Frechendets (Hautes Pyr_n_es), 31 August 05",MAF,F2B1
JU798,Pristionchus sp.,wild isolate,"Hermaphroditic. From Primel-Tr_gastel (Finistère) on 27 August 05, under an apple tree.",MAF,P26H1
JU799,Caenorhabditis elegans,wild isolate,"Isolated in the Botanical Garden, Lisbon, Portugal, 10 July 05 below a tree with red fruits rottening on the ground. ",MAF,P8L3
JU800,Caenorhabditis sp. 5,inbred derivative of JU727,20-generation inbreeding by sib mating of JU727,MAF,11.2
JU801,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E1.2
JU804,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as L4 on the 20,Antoine Barrière,E1.13
JU805,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as L4 on the 20,Antoine Barrière,E1.15
JU806,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E2.2
JU807,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E2.4
JU808,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E2.6
JU809,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E2.10
JU810,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E2.13
JU811,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E3.5
JU812,Caenorhabditis elegans,wild isolate,Isolated from Franconville compost 19 Jul. 2005 - picked as dauer on the 19,Antoine Barrière,E3.11
JU813,Caenorhabditis elegans,wild isolate,Isolated from Le Perreux/Marne 13 July 2005 - J-A Lepesant compost. FROZEN STRAIN appears to be a C. briggsae.,Antoine Barrière,1.1
JU814,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,1.2
JU815,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,1.3
JU816,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,4.1
JU817,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,4.2
JU818,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,4.3
JU819,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,7.1
JU820,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,8.1
JU821,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,Antoine Barrière,9.1
JU822,Caenorhabditis elegans,wild isolate,isolated from Le Perreux/Marne 13/07 - J-A Lepesant,,10.1
JU825,Caenorhabditis remanei,wild isolate,"Isolated from a rotten apple sampled in Obernai, Bas-Rhin, France on 2 Oct 05 by MAF. Strain started from 15 females isolated on 9 Oct 05.",,O3A1-15 
JU826,Caenorhabditis briggsae,mfEx24[pPD9; Ce-myo-3::GFP],pPD9 = Mos1. Injected into AF16 with myo-3::GFP (pPD93.97).,MAF,43.1
JU827,Caenorhabditis briggsae,mfEx25[pPD9; Ce-myo-3::GFP],pPD9 = Mos1. Injected into AF16 with myo-3::GFP (pPD93.97).,MAF,45.2
JU828,Caenorhabditis briggsae,mfEx26[pPD9; Ce-myo-3::GFP],pPD9 = Mos1. Injected into AF16 with myo-3::GFP (pPD93.97).,MAF,57.4
JU829,Caenorhabditis elegans,wild isolate,"Compost heap of Ray Hong in TŸbingen, Germany, 28 Sep 05. ",MAF,T2A1
JU830,Caenorhabditis elegans,wild isolate,"Compost heap of Ray Hong in TŸbingen, Germany, 28 Sep 05. ",MAF,T2A2
JU831,Caenorhabditis elegans,wild isolate,"Compost heap of Ray Hong in TŸbingen, Germany, 28 Sep 05. ",MAF,T2B1
JU832,Caenorhabditis elegans,wild isolate,"Compost heap of Ray Hong in TŸbingen, Germany, 28 Sep 05. ",MAF,T2B2
JU833,Caenorhabditis elegans,wild isolate,"Compost heap of Ray Hong in TŸbingen, Germany, 28 Sep 05. ",MAF,T2B3
JU834,Caenorhabditis elegans,wild isolate,"Compost heap of Ray Hong in TŸbingen, Germany, 28 Sep 05. ",MAF,T2B4
JU835,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F1
JU836,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F3
JU837,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F4
JU838,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F5
JU839,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F6
JU840,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F7
JU841,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F8
JU842,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F9
JU843,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F10
JU844,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F11
JU845,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF. ",MAF,O1F12
JU846,Caenorhabditis briggsae,wild isolate,"Sampled in a vegetable garden/orchard near Obernai (Bas-Rhin), France on 2 Oct 05 by MAF.  ",MAF,O1I1
JU847,Caenorhabditis elegans,wild isolate,"Sampled in a compost heap in vegetable gardens/vineyards  (Bas-Rhin), France on 3 Oct 05 by MAF. Plated 4 Oct, picked as adult on 4 Oct .",MAF,O6A1
JU848,Caenorhabditis elegans,wild isolate,"Sampled in a compost heap in vegetable gardens/vineyards  (Bas-Rhin), France on 3 Oct 05 by MAF. Plated 4 Oct, picked as adult on 6 Oct .",,O6A5
JU849,Caenorhabditis elegans,wild isolate,"Sampled in a compost heap in vegetable gardens/vineyards  (Bas-Rhin), France on 3 Oct 05 by MAF. Plated 4 Oct, picked as adult on 6 Oct .",MAF,O6A7
JU850,Caenorhabditis elegans,wild isolate,"Sampled in a compost heap in vegetable gardens/vineyards  (Bas-Rhin), France on 3 Oct 05 by MAF. Plated 4 Oct, picked as adult on 6 Oct .",MAF,O6B1
JU851,Caenorhabditis elegans,wild isolate,"Sampled in a compost heap in vegetable gardens/vineyards  (Bas-Rhin), France on 3 Oct 05 by MAF. Plated 4 Oct, picked as L4 on 4 Oct.",MAF,O6C1
JU852,Caenorhabditis elegans,wild isolate,"Sampled in a compost heap in vegetable gardens/vineyards  (Bas-Rhin), France on 3 Oct 05 by MAF. Plated 4 Oct, picked as L4 on 4 Oct.",MAF,O6C3
